name,coord_num,phi,pore.diameter,throat.diameter,euler
4385.npy,2.5102880658436213,0.2611103057861328,1.1115785713234817e-05,1.925617664173001e-05,17
5887.npy,2.380952380952381,0.22780132293701172,1.0614180466609977e-05,1.6884984320998194e-05,-6
15899.npy,2.601449275362319,0.27359962463378906,1.102988941110902e-05,1.7424742997024716e-05,5
14087.npy,2.146153846153846,0.19704151153564453,1.0105444946056833e-05,1.6885981259807463e-05,36
9703.npy,2.225,0.19216632843017578,9.994873691433324e-06,1.6280654833557902e-05,14
7499.npy,2.2436974789915967,0.20760250091552734,1.0265941233584182e-05,1.7716162857714664e-05,1
712.npy,2.220472440944882,0.16885089874267578,9.77578877830017e-06,1.6719738600101876e-05,25
18135.npy,2.408921933085502,0.22168731689453125,9.850465685749745e-06,1.5442429133587415e-05,-38
5187.npy,2.3870967741935485,0.20101451873779297,9.720466549305628e-06,1.6996550664708423e-05,18
16263.npy,2.68,0.2621879577636719,1.0292177615099155e-05,1.8077506123194055e-05,-25
10966.npy,2.4836065573770494,0.19881629943847656,1.0169875729247763e-05,1.682817882830554e-05,6
20214.npy,2.280155642023346,0.21858453750610352,9.369014322057905e-06,1.6131365450779327e-05,22
1392.npy,2.2803030303030303,0.2087693214416504,1.0092166065298581e-05,1.6734890556216637e-05,54
8743.npy,2.6527777777777777,0.26162290573120117,1.0511655336100058e-05,1.624475385022413e-05,-13
2667.npy,2.42809364548495,0.20718097686767578,1.0048770806443902e-05,1.653016109308921e-05,7
21677.npy,2.5247148288973382,0.21080446243286133,1.0590840651011337e-05,1.7822854513863487e-05,17
17567.npy,2.437037037037037,0.21366357803344727,1.008260206590343e-05,1.612773163612128e-05,2
15066.npy,2.2866894197952217,0.21830081939697266,1.0078836244302253e-05,1.6685657890341177e-05,-1
21137.npy,2.2149532710280373,0.23514699935913086,1.0595908331271612e-05,1.8668574612351913e-05,37
7692.npy,2.54275092936803,0.24014854431152344,1.0770690559108904e-05,1.708626203160537e-05,7
7189.npy,1.7479674796747968,0.10981893539428711,8.633926052712558e-06,1.4136870085915854e-05,97
13368.npy,2.3404255319148937,0.22393798828125,1.0331532661020179e-05,1.7533117542483592e-05,28
18064.npy,2.4017094017094016,0.18323040008544922,1.0569740682565921e-05,1.5728897236632284e-05,13
610.npy,2.4516129032258065,0.18485546112060547,1.0162904268869065e-05,1.5293096020817756e-05,-6
19443.npy,2.456692913385827,0.21414470672607422,1.0386766869002795e-05,1.6704531093629508e-05,13
8149.npy,2.1872340425531913,0.18759441375732422,1.0131516937301182e-05,1.7367746524541757e-05,58
10872.npy,2.2097902097902096,0.22159051895141602,9.7261032260161e-06,1.6222072857467433e-05,23
4342.npy,2.4108527131782944,0.2303471565246582,1.0722763746483168e-05,1.8716685049978483e-05,18
16941.npy,2.6357142857142857,0.30721187591552734,1.0701257370401947e-05,1.821696902775183e-05,-6
16679.npy,2.7794117647058822,0.28583383560180664,1.0775262007008452e-05,1.6625965633562634e-05,-42
3329.npy,2.282442748091603,0.20356988906860352,1.0332463750302529e-05,1.637852300728444e-05,54
23430.npy,2.549019607843137,0.20278596878051758,1.052103159987916e-05,1.575319363282277e-05,-5
15655.npy,2.4692307692307693,0.2008194923400879,1.0598494899944657e-05,1.613430062911221e-05,14
15213.npy,2.361842105263158,0.23836088180541992,9.741876695195346e-06,1.7169166541365196e-05,11
1288.npy,2.3583333333333334,0.2381887435913086,1.0671289426030842e-05,1.8902690132810037e-05,30
20885.npy,2.4132841328413286,0.2407517433166504,1.0813973012004344e-05,1.8408162331909214e-05,11
22754.npy,2.488721804511278,0.2012639045715332,1.0556585879721376e-05,1.607274182055292e-05,12
8371.npy,2.2857142857142856,0.19261550903320312,9.878843530816405e-06,1.513537096977234e-05,41
20333.npy,2.41635687732342,0.2599034309387207,1.0982393351749933e-05,1.932278062435297e-05,36
19735.npy,2.1627906976744184,0.17609453201293945,9.87252597822042e-06,1.5209530463141782e-05,34
19175.npy,2.4334600760456273,0.22191667556762695,9.802992345224302e-06,1.5291705380938948e-05,0
14576.npy,2.5714285714285716,0.25002241134643555,1.0208429589522884e-05,1.717435237467289e-05,4
18950.npy,2.840148698884758,0.23833417892456055,1.0884707511864477e-05,1.5448189066186625e-05,-15
21551.npy,2.348122866894198,0.19681167602539062,1.0461953701995523e-05,1.7630810744367368e-05,36
503.npy,2.5656565656565657,0.24878549575805664,1.0261593657976192e-05,1.6751867739234385e-05,-5
12703.npy,2.3533834586466167,0.19512605667114258,1.0002776661923137e-05,1.5630023863559333e-05,-1
9695.npy,2.4194756554307117,0.22309541702270508,1.0083313947639019e-05,1.6483449777767014e-05,20
2242.npy,2.5096153846153846,0.2143402099609375,1.137727066017617e-05,1.6622965177585337e-05,15
